Common Name,name,ra (J2000 hrs),radeg (J2000 deg),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),distance (pc),rv (km/s),vmag (Johnson V),Sloan I band,sptype,priority,vsini (km/s),exptime (sec),maxobs,seplimit,pmodeperiod(min),Amp P-mode (cm/s),fauexptime (sec),acquisition_offset_north (arcsec),acquisition_offset_east (arcsec),iodine,active,Howard (2010),finder,MEarth Image,MEarth Mags,Companion ,Type and Seperation,Planets,Mass,Period,Paper,comment
GJ 4326,GJ4326,23.6986194,355.4792917,44.1774514,112.692,-1592.055,316.9558,3.2,-77.715,12.4,9.3,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=355.479291&d=44.1774514&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ2317+1936_tel01_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ2317+1936_tel01_2011-2013.txt,double or multiple star in simbad,,,,,,
t,GJ4338B,23.7314167,355.97125,32.5940975,-216.8,-55.4,0,8000.0,6.392,12.25,8.5,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=355.9712505&d=32.5940975&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,no,,,,,,
Ross 248,Gl 905,23.69861247,355.479187,44.177479,0,0,0,8000.0,0,12.5,9,m6,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=355.479187&d=44.177479&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/charts/LSPMJ2341+4410_tel03_2011-2013_aperture.png,http://www.cfa.harvard.edu/MEarth/DR3/2011-2013/lc/LSPMJ2341+4410_tel03_2011-2013.txt,?,,,,,,none
G 130-6,Gl 905.2 A,23.7314168,355.971252,32.59412,0,0,0,8000.0,0,12.39,9.2,m4,1,,1800,3,3600,,,0.25,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=355.971252&d=32.59412&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,no,no,?,,,,,,none
merga,SAO45226,14.82185295,222.327794,46.116205,-6.404,-78.073,20.7166,8000.0,0,5.75,,F6IVs,1,,1800,3,3600,,,2.5,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=222.3277942524&d=46.116205&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
39 Com,HD113848,13.10589993,196.588499,21.153398,-69.38,-45.88,20.1,8000.0,-0.8,6.018,,F4V C,1,,1800,3,3600,,,5.01,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=196.588498905&d=21.153398&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
Alathfar,SAO66943,18.40383056,276.057442,39.507235,-21.825,-4.46,7.9161,8000.0,0,5.12,,A1V,1,,1800,3,3600,,,1.01,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=276.057458334&d=39.507235&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
marfik,SAO121658,16.13445,247.72843,17.035,-30.98,-73.42,18.84,8000.0,-16,3.9,,A1IV C,1,,1800,3,3600,,,1.05,0,0,0,0,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=242.01675&d=17.035&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
azelfafage,SAO033665,21.70157222,325.523602,51.189623,5.29,1.78,1.89,8000.0,-8.2,4.66,,B3III,1,,1800,100,0,,,1,0,0,0,1,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=325.523583333&d=51.189623&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
sig dra,SAO018396,19.539333,293.089995,69.661176,598.07,1738.4,173.77,8000.0,26.734,4.68,,K0V B,1,,1800,100,0,,,1,0,0,0,1,,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=293.089995&d=69.661176&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,,,,,,,,,
vega,vega,18.61564899,279.2347348,38.78368894,200.94,286.23,130.23,8000.0,-20.6,0,0,A0Va C,1,,1800,0,3600,,,1,0,0,0,0,,,,,,,,,,,
