name,ra (J2000 hrs),radeg (J2000 deg),dec (J2000 deg),pmra (mas/yr),pmdec (mas/yr),parallax (mas),distance (pc),rv (km/s),vmag (Johnson V),sptype,bad_priority,priority,vsini (km/s),exptime (sec),maxobs,seplimit,pmodeperiod(min),Amp P-mode (cm/s),fauexptime (sec),acquisition_offset_north (arcsec),acquisition_offset_east (arcsec),iodine,active,dtactive,tc,period,t14,Howard (2010),finder,mstar,rstar,rpearth,mpearth,k,comment
TOI2033,1.1786732,17.680098,65.249659,24.971,-2.555,3.5279,283.45475,3.44,9.811,,0.75880524,0.037940262,,1800,3,60,,,5,0,0,1,1,0,2458794.683,18.8238,4.806,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=17.680098&d=65.249659&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.81,1.817,9.6281225,68.047657,11.013136,11.013136 m/s RV semi-amplitude. disposition=NPC?. possible centroid offset; match to 53617127
TOI1559,1.3811598,20.717398,48.955391,3.798,-6.27,1.4322,698.2265,0,10.368,,0.24258752,0.012129376,,1800,3,60,,,5,0,0,1,1,0,2458764.939,3.46479,1.009,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=20.717397&d=48.955391&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.99,2.62,9.6912744,68.807169,18.377846,18.377846 m/s RV semi-amplitude. disposition=PC. Rs = 2.5 RSun - large planet
TOI1590,1.7532948,26.299423,54.568457,0.568,-3.837,1.3093,763.7669,0,10.357,,0.01,0.0005,,1800,3,60,,,5,0,0,1,1,0,2458793.51,3.10315,3.535,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=26.299422&d=54.568457&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,2.61,2.53,11.577537,13579.811,3108.3382,"3108.3382 m/s RV semi-amplitude. disposition=NPC. ""Slightly crowded field; uncertain planet radius; FFI reanalysis detects NEB 32"""" S. TOI-3658 has been released, though it is likely too large to be a planet."""
TOI1563,2.5873469,38.810203,48.274186,115.886,-98.373,19.5633,51.11612,14.07,10.445,,0.01,0.0005,,1800,3,60,,,5,0,0,1,1,0,2458805.451,0,5.816,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=38.8102035&d=48.274186&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,0.767,0.716,5.1981112,23.895754,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. single transit
TOI1588,2.6594068,39.891102,62.433311,-3.244,-1.135,1.3188,758.26509,0,9.291,,51.639692,2.5819846,,1800,3,60,,,5,0,0,1,1,0,2458793.485,3.5804,3.598,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=39.891102&d=62.433311&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,8.7,3.68,12.175096,4326.7416,427.12744,427.12744 m/s RV semi-amplitude. disposition=PC. active star; slightly large planet candidate
TOI1565,2.9813494,44.720241,58.73525,0,0,0,8000,0,9.537,,0.01,0.0005,,1800,3,60,,,5,0,0,1,1,0,2458808.474,0,5.661,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=44.720241&d=58.73525&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,5.3,4.3,25.560972,67710.133,Infinity,Infinity m/s RV semi-amplitude. disposition=STPC. single transit; close in epoch to TIC 259151170 but with no underlying systematic linking the two
TOI1648,3.0267453,45.401179,69.2299,16.325,5.432,14.2906,69.976068,-32.01,10.43,,0.022465883,0.00112329415,,1800,3,60,,,5,0,0,1,1,0,2458796.283,7.33149,1.449,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=45.4011795&d=69.2299&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,3.0658029,9.7502233,3.2094259,"3.2094259 m/s RV semi-amplitude. disposition=VPC. ""potential L1; low snr; SG1 clears the field of NEBs and detects event on target."""
TOI1675,3.187109,47.806635,61.762391,-3.246,-1.418,2.4755,403.9588,0,10.307,,0.11143689,0.0055718445,,1800,3,60,,,5,0,0,1,1,0,2458794.777,3.13282,0.843,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=47.806635&d=61.762391&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,3.6666538,13.212246,5.773937,"5.7739370 m/s RV semi-amplitude. disposition=CPC-. ""check nearby stars; SG1 clears the field of NEBs, except for the 1.9"""" faint companion."""
TOI4543,3.6760568,55.140851,13.552773,11.62,-5.838,13.1657,75.954944,31.21,7.835,,4.2993707,0.214968535,,1800,3,60,,,5,0,0,1,1,0,2459519.314,5.7740318,4.551,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=55.140852&d=13.552773&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,7.5727601,45.26419,16.132723,16.132723 m/s RV semi-amplitude. disposition=PC. possibly too large for insolation; evolved and possibly pulsating host
TOI1686,4.1154095,61.731142,66.119622,9.278,-5.304,4.7528,210.40229,-18.52,10.411,,0.035295245,0.00176476225,,1800,3,60,,,5,0,0,1,1,0,2458818.606,6.7021373,3.9010854,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=61.7311425&d=66.119622&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.33,1.407,3.8163954,14.141328,3.965769,3.9657690 m/s RV semi-amplitude. disposition=PC. crowded field
TOI1684,4.3564057,65.346085,62.245754,30.853,-127.329,11.3885,87.807876,30.34,8.25,,6.8866894,0.34433447,,1800,3,60,,,5,0,0,1,1,0,2458816.412,1.1551094,1.4751937,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=65.3460855&d=62.245754&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.26,2.9,8.8159905,58.59193,30.607509,"30.607509 m/s RV semi-amplitude. disposition=CPC. ""Possibly EB; difference image suggests some centroid shift but not consistent between the two orbits; minor depth-aperture correlation; Small a/R*"""
TOI4597,4.9137103,73.705654,22.14649,-25.384,-24.687,7.9601,125.62656,0,8.01,,5.84771,0.2923855,,1800,3,60,,,5,0,0,1,1,0,2459523.197,4.6663795,2.526,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=73.7056545&d=22.14649&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1,1,9.0605638,61.378258,23.484781,23.484781 m/s RV semi-amplitude. disposition=PC.
TOI1715,5.271567,79.073505,79.737671,-6.382,13.103,5.4387,183.86747,-15.04,9.284,,1.2149293,0.060746465,,1800,3,60,,,5,0,0,1,1,0,2458816.936,2.8269367,1.5853265,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=79.073505&d=79.737671&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,1.43,1.525,5.7118383,28.042193,9.9911979,"9.9911979 m/s RV semi-amplitude. disposition=CPC-. ""V-shaped; possible secondary at 0.55; centroid offset < 3sigma on TIC 142090063; need SG1 to check; SG1 clears the field of NEBs except for the dT~2 neighbor 5"""" S."""
TOI1649,5.7108807,85.66321,35.185796,-2.544,-20.51,3.7081,269.67989,0,9.33,,20.219493,1.01097465,,1800,3,60,,,5,0,0,1,1,0,2459550.446,3.4557706,2.043,S,https://archive.stsci.edu/cgi-bin/dss_search?v=poss2ukstu_red&r=85.6632105&d=35.185796&e=J2000&h=15.0&w=15.0&f=gif&c=none&fov=NONE&v3=,2.06,1.61,13.223551,661.91886,172.81617,172.81617 m/s RV semi-amplitude. disposition=APC. Archival TRES data imply a low-mass stellar companion.
