PPM,DM,vmag,sptype,ra (hrs),dec (deg),pmra (mas/yr),pmdec (mas/yr),ura (mas),udec (mas),upmra (mas/yr),upmdec (mas/yr)
314,BD-10  230,5.58,A1V,1.101416667,-9.839444444,30,4,0,0,0,0
5126,BD+15 2602,6.52,A9V s,13.63552778,14.30166667,36,-19,0,0,0,0
2061,CP-66  463,5.11,B6V,5.831555556,-66.90111111,-16,16,0,0,0,0
1760,BD+08  933,5.8,B1V,5.362111111,8.428611111,3,-6,0,0,0,0
425,BD+65  175,6.14,A2V s,1.514527778,66.09805556,84,-10,0,0,0,0
4612,CP-65 1788,6.06,G8-K0III+A3-5V,12.10641667,-65.70916667,-49,2,0,0,0,0
6242,CD-4110957,5.22,O8Iaf,16.85936111,-41.23055556,1,-1,0,0,0,0
907,BD+03  420,5.61,B7V,3.039583333,4.352777778,14,5,0,0,0,0
2596,BD-07 1642,6.34,K0II-III+A2V,6.950027778,-8.178888889,-7,2,0,0,0,0
6682,BD+26 3120,5.46,F2Ib,17.92366667,26.05,4,6,0,0,0,0
6419,CD-3212573,6.36,B5Vn,17.30566667,-32.55333333,-13,-19,0,0,0,0
6770,CD-2512793,6.61,B3III,18.14836111,-25.4725,3,18,0,0,0,0
6014,CD-2912343,5.13,K3III,16.18388889,-29.41638889,-93,-87,0,0,0,0
8923,BD+57 2748,4.91,B3IV,23.50055556,58.54888889,20,5,0,0,0,0
433,CD-26  502,5.93,K4III,1.506361111,-26.20777778,45,2,0,0,0,0
5182,BD+18 2782,4.5,F6IV,13.78769444,17.45666667,-482,41,0,0,0,0
8737,BD+10 4859,5.75,A8V+F6V,22.98661111,11.72888889,33,-41,0,0,0,0
7116,BD+41 3167,6.28,B9IIIpSi,18.86863889,41.38333333,-16,-1,0,0,0,0
9022,BD+28 4649,5.97,A2m,23.82761111,28.8425,61,24,0,0,0,0
6887,BD-03 4277,6.38,F6III-IV,18.40097222,-3.583333333,-25,-55,0,0,0,0
2529,BD+45 1359,6.26,A8Vn,6.885444444,44.83944444,8,-81,0,0,0,0
1987,BD+17 1004,5.49,F0III,5.790611111,17.72916667,-5,-6,0,0,0,0
4969,CP-62 3046,6.33,A8II-III,13.19808333,-63.30277778,-6,3,0,0,0,0
6716,BD+06 3597,6.34,B2IV,18.01469444,6.268333333,2,-8,0,0,0,0
760,BD+11  360,5.68,F7V,2.610527778,12.4475,286,-89,0,0,0,0
5610,BD+35 2644,6.59,G8III-IV,15.06013889,34.56611111,-2,-16,0,0,0,0
5849,CP-65 3139,6.39,F0-2IV,15.79825,-65.4425,-5,-42,0,0,0,0
2043,BD+31 1139,5.9,A5IV,5.916388889,31.70166667,-43,-176,0,0,0,0
4634,CD-50 6752,6.23,G6III+G:,12.19205556,-51.35944444,-208,-67,0,0,0,0
1709,BD+34  980,5.96,O9.5V,5.271722222,34.31194444,8,30,0,0,0,0
1456,BD+09  607,4.25,A5m,4.59425,10.16083333,55,-46,0,0,0,0
5174,BD+56 1683,6.5,F7IV-V,13.75366667,55.87944444,102,-360,0,0,0,0
7789,BD+61 2000,5.72,B9V,20.32686111,62.2575,10,26,0,0,0,0
3350,CD-26 6103,6.7,B4V,8.491,-27.3325,0,-8,0,0,0,0
2586,BD+10 1335,5.92,B8Vn,6.9405,9.956388889,-15,-14,0,0,0,0
9089,BD+08 5164,6.32,A6V,0.040055556,8.956944444,5,-3,0,0,0,0
8333,BD+35 4643,6.47,K5,21.80230556,36.58055556,-28,2,0,0,0,0
994,BD-19  651,5.71,F0IV,3.311444444,-18.55972222,136,-53,0,0,0,0
3309,BD+25 1920,7.02,F0III,8.444388889,24.53416667,-41,-80,0,0,0,0
5361,CD-44 9236,4.77,F0IV,14.34513889,-45.18722222,34,-80,0,0,0,0
5960,BD+04 3096,5.83,gK0,16.01419444,4.4275,-41,75,0,0,0,0
